|223.196.196.134|GET|/.env|{}|{}|{"b":10,"bv":"81.0.4044.129","o":24,"ov":"x86_64","d":"","v":"","c":2,"i":""}
|bbnlbss.apsfl.co.in|GET|/assets/images/logos/glits_D.png|{}|{}|{"b":10,"bv":"120.0.0.0","o":"","ov":"10","d":"","v":"","c":2,"i":""}
|bbnlbss.apsfl.co.in|GET|/null|{}|{}|{"b":10,"bv":"120.0.0.0","o":"","ov":"10","d":"","v":"","c":2,"i":""}
|bbnlbss.apsfl.co.in|GET|/apiv1/login/capcha|{}|{}|{"b":10,"bv":"120.0.0.0","o":"","ov":"10","d":"","v":"","c":2,"i":""}
|bbnlbss.apsfl.co.in|GET|/assets/images/logos/glits_D.png|{}|{}|{"b":17,"bv":"120.0.0.0","o":"","ov":"10","d":"","v":"","c":2,"i":""}
|bbnlbss.apsfl.co.in|GET|/apiv1/login/capcha|{}|{}|{"b":17,"bv":"120.0.0.0","o":"","ov":"10","d":"","v":"","c":2,"i":""}
|bbnlbss.apsfl.co.in|GET|/null|{}|{}|{"b":17,"bv":"120.0.0.0","o":"","ov":"10","d":"","v":"","c":2,"i":""}
|bbnlbss.apsfl.co.in|POST|/apiv1/login_new|{"username":"SI0006","password":"Enterprise$$2016","app":"web","captcha":"bKkQ","captchaID":50029220,"saltKey":"8803f5eeceff8d20"}|{}|{"b":17,"bv":"120.0.0.0","o":"","ov":"10","d":"","v":"","c":2,"i":""}
|bbnlbss.apsfl.co.in|GET|/apiv1/user/profile|{}|{}|{"b":17,"bv":"120.0.0.0","o":"","ov":"10","d":"","v":"","c":2,"i":""}
|bbnlbss.apsfl.co.in|GET|/apiv1/user/menuLst|{}|{}|{"b":17,"bv":"120.0.0.0","o":"","ov":"10","d":"","v":"","c":2,"i":""}
|bbnlbss.apsfl.co.in|GET|/apiv1/user/profile|{}|{}|{"b":17,"bv":"120.0.0.0","o":"","ov":"10","d":"","v":"","c":2,"i":""}
|bbnlbss.apsfl.co.in|GET|/apiv1/user/profile|{}|{}|{"b":17,"bv":"120.0.0.0","o":"","ov":"10","d":"","v":"","c":2,"i":""}
|bbnlbss.apsfl.co.in|GET|/apiv1/dashbrd/enterprise/cafs/counts/4|{}|{}|{"b":17,"bv":"120.0.0.0","o":"","ov":"10","d":"","v":"","c":2,"i":""}
|bbnlbss.apsfl.co.in|GET|/apiv1/dashbrd/enterprise/top/cafs/4|{}|{}|{"b":17,"bv":"120.0.0.0","o":"","ov":"10","d":"","v":"","c":2,"i":""}
|bbnlbss.apsfl.co.in|GET|/apiv1/dashbrd/enterprise/cafs/last6months/provisions/4|{}|{}|{"b":17,"bv":"120.0.0.0","o":"","ov":"10","d":"","v":"","c":2,"i":""}
|bbnlbss.apsfl.co.in|GET|/apiv1/lmoprepaid/walletamountfrlmo|{}|{}|{"b":17,"bv":"120.0.0.0","o":"","ov":"10","d":"","v":"","c":2,"i":""}
|223.196.196.134|GET|/actuator/gateway/routes|{}|{}|{"b":10,"bv":"78.0.3904.108","o":"","ov":"10","d":"","v":"","c":2,"i":""}
|localhost:4500|POST|/apiv1/extApi/updateoltupdownFrmBss|{"aaa_cd":{"status":"down","olt_name":"204357-YERUKALACHERUVU GP","mobile_num":"9121101449,9121101451,7569689696,9154349168,9100042123","olt_ip":"172.16.208.163"},"down":0}|{}|{"b":"","o":"","d":"","v":"","c":"","i":""}
|localhost:4500|POST|/apiv1/extApi/updateoltupdownFrmBss|{"aaa_cd":{"status":"up","olt_name":"200241-PANDRAPADU GP","mobile_num":"9121101448,9121101451,7569689696,9154349168,9100042123","olt_ip":"172.16.202.195"},"down":1}|{}|{"b":"","o":"","d":"","v":"","c":"","i":""}
|localhost:4500|POST|/apiv1/extApi/updateoltupdownFrmBss|{"aaa_cd":{"status":"up","olt_name":"212219-REDDIPALLE.AGRAHARAM GP","mobile_num":"9121106939,9121101451,7569689696,9154349168,9100042123","olt_ip":"172.16.211.129"},"down":1}|{}|{"b":"","o":"","d":"","v":"","c":"","i":""}
